epoch|train_loss|valid_loss|train_acc|valid_acc
0.0|1.9423968930577122|1.205557374159495|0.3821705536440361|0.6222222367922465
1.0|0.8208782846151397|0.3506659875313441|0.7627907173578129|0.9333333492279052
2.0|0.3335698454879051|0.22631457932293414|0.9089147420816643|0.950000011920929
3.0|0.2547357001796711|0.17175772783036033|0.9186046636381815|0.944444453716278
4.0|0.16631638735186222|0.16495139071096976|0.9585271394530008|0.950000011920929
5.0|0.14995317854160486|0.20311187657838067|0.9569767519485118|0.9333333452542623
6.0|0.11674816776500192|0.14667222816497089|0.9709302394889122|0.9666666746139526
7.0|0.055491194865384764|0.20263853853878874|0.9860465152319088|0.950000007947286
8.0|0.06137566088677146|0.11347008365361641|0.979844965213953|0.9666666746139526
9.0|0.058292333204515795|0.138954346626997|0.9806201596592747|0.9555555621782938
10.0|0.03342389636997913|0.1207013852118204|0.996124031931855|0.9722222288449606
11.0|0.027276037726551294|0.12044791909866034|0.9941860478977824|0.9666666746139526
12.0|0.020763999184182043|0.13230674171354623|0.9941860478977824|0.9611111164093018
13.0|0.04013561036675995|0.20203869471636912|0.9903100798296374|0.9666666746139526
